step,time_ps,temperature_K,pressure_GPa,scf_iterations,final_accuracy_Ry,Mx_Bohr_cell,My_Bohr_cell,Mz_Bohr_cell,M_magnitude_Bohr_cell,mean_local_moment_Bohr_Fe,total_force_Ry_Bohr,scf_force_correction_Ry_Bohr,scf_force_correction_ratio,rms_displacement_A,max_displacement_A,minimum_Fe_Fe_distance_A
1,0.0009999667806108177,4301.59149724,379.207,3,0.00021285,-0.0,-0.0,-0.0,0.0,0.10773028742738779,2.599381,0.137659,0.052958377398311364,0.01361789359371095,0.02514550876050793,1.6691226696331205
2,0.0019999335612216353,4209.87918329,380.768,8,0.0030785,0.0,0.0,-0.0,0.0,0.10702595424171552,2.640011,0.649491,0.24601829310559695,0.02703766920291749,0.051195491745511114,1.6613646598866543
3,0.0029999003418324528,3994.00804228,381.57399999999996,21,0.00284921,0.0,-0.0,0.0,0.0,0.10702903781137775,2.599259,0.374995,0.14426996309332776,0.040118443375213586,0.07755624441603025,1.6564772203476548
4,0.003999867122443271,4071.67292276,381.32800000000003,16,0.00273448,0.0,-0.0,-0.0,0.0,0.10714302558905102,2.58052,0.43652,0.16915970424565593,0.05317127680092522,0.10449523301056454,1.6544553297723508
5,0.0049998339030540885,4288.3160724,379.255,19,0.00388966,0.01,-0.0,-0.0,0.01,0.10732740645712446,2.528896,0.455377,0.1800694848661234,0.06648628776362749,0.13222322023658645,1.6553402948622542
6,0.0059998006836649055,4418.02003447,379.71500000000003,11,0.0038236,0.01,0.0,0.0,0.01,0.10742571242300374,2.459947,0.368675,0.14987111510939055,0.07980671496116104,0.16001885552167447,1.659177873239339
7,0.006999767464275723,4631.04597526,375.056,7,0.00383731,0.01,0.01,0.0,0.01414213562373095,0.10762966380439883,2.365357,0.304231,0.12861948534618664,0.09317362047268513,0.18763225404109454,1.6659189909864207
8,0.007999734244886541,4887.62063397,375.74899999999997,18,0.00284043,0.01,0.01,-0.0,0.01414213562373095,0.10787831081311346,2.305606,0.307941,0.13356184881545244,0.10679514935896744,0.21523379082124805,1.6755213124328097
9,0.008999701025497358,4982.54632941,375.83000000000004,12,0.00321771,0.02,0.01,-0.0,0.022360679774997897,0.10800687384252196,2.213781,0.416976,0.18835467464938943,0.12031055680334718,0.24189963388862934,1.6876119475330453
10,0.009999667806108177,5298.58596839,372.207,9,0.00347971,0.02,0.01,-0.0,0.022360679774997897,0.10821645231115046,2.12195,0.364683,0.17186220221965645,0.13400504857268644,0.26803434418810546,1.686393476903053
