frame_index,iteration,time_ps,temperature_K,pressure_GPa,mag_total_Bohr,abs_mag_total_Bohr,b000,b001,b002,b003,b004,b005,b006,b007,b008,b009,b010,b011,b012
0,1,0.0,4301.59149724,379.207,0.0,5.87,-55.59674484929311,30.04564847515755,-37.21535967632265,-8.442959310495263,15.461431876126642,-41.39476878557763,23.444200344725584,11.25929427199631,-27.31416954952932,-56.82281185601504,4.511769816181876,-59.078062368059285,2.6681399019417102
1,2,0.0009999667806108177,4209.87918329,380.768,0.0,5.83,-54.075139822899,30.13902855328596,-36.88103432054093,-16.870576226506067,17.433593176984537,-36.99744842238332,20.980093543019276,7.5082887260125695,-29.34007012710865,-53.92471096867824,13.93289142548157,-70.60336259550812,1.56736041941048
2,3,0.0019999335612216353,3994.00804228,381.57399999999996,0.0,5.83,-37.81892900576943,21.78017869925991,-38.80462703333032,0.25396193511732784,4.114430747755579,-52.6098201571439,21.92057978000924,17.070098819588186,-27.150466424456326,-39.27576585051532,4.3302541358177695,-48.119515639087986,-1.8444766275799866
3,4,0.0029999003418324528,4071.67292276,381.32800000000003,0.0,5.85,-28.140906595632025,17.74544199644554,-40.82095986706234,-1.0187350233847354,8.382402361535062,-42.194342317505054,22.307253221264197,10.700536949699368,-24.724998336158563,-32.76512221262492,16.43799300899059,-41.00225459057286,-4.2736400157753
4,5,0.003999867122443271,4288.3160724,379.255,0.01,5.86,-14.31519052783455,10.446284772065498,-40.71158560235408,7.697332936553157,2.9509699571439634,-41.565177963347686,22.456150880881303,12.170799649625122,-22.403382167538705,-21.96511139798794,14.221129019593597,-32.103868776362354,-7.069318029010894
5,6,0.0049998339030540885,4418.02003447,379.71500000000003,0.01,5.86,-5.584636699871543,6.390062905302502,-39.26847073740638,9.987141837706982,5.800949455854695,-30.278661795326947,21.57040535345534,5.991551740313261,-16.690391174666157,-18.54238245830102,13.344781882167387,-24.43118922495403,-8.420725904371976
6,7,0.0059998006836649055,4631.04597526,375.056,0.01414213562373095,5.87,1.9112404786610075,3.08513958226666,-34.185720573167735,8.381895293108196,14.15048401692045,-12.425423246388005,18.028814988512277,-5.375666371963984,-5.834522264427609,-18.36485884164573,5.0592405582722915,-13.161736296587307,-8.5315552182071
7,8,0.006999767464275723,4887.62063397,375.74899999999997,0.01414213562373095,5.89,13.574327968487065,-3.120739671741468,-20.820448170452277,10.347336654814496,9.066811325361172,5.0550303434728825,9.287724798696237,-14.394242624507436,7.250383428969707,-15.040786125413183,-12.901928161283772,-4.8692409301735795,-10.395553005353243
8,9,0.007999734244886541,4982.54632941,375.83000000000004,0.022360679774997897,5.9,19.966270003511646,-6.229147752980966,-9.671413860269421,5.850600177526113,13.42273604278675,22.812991460765392,1.7071910181266332,-26.109678200804172,20.508152841790178,-15.805104922880666,-28.857375576315796,4.821824391730233,-10.217879112799123
9,10,0.008999701025497358,5298.58596839,372.207,0.022360679774997897,5.91,20.833310750150446,-6.47613661880853,-7.5545733608187815,3.333838876861155,16.445098001241323,24.83777059479506,1.4716581493974519,-27.4347513287839,22.002552067585317,-16.245549566296745,-31.551029866343306,6.789996437077273,-9.907930643892168
10,11,0.009999667806108177,5467.49221731,371.71799999999996,0.01414213562373095,5.93,22.770519934023124,-7.3433469275045145,-6.820489341930746,4.267356768608705,12.775328013596221,23.07720593566128,2.3751338267287783,-24.586116694258095,20.157378560829084,-16.122914204049717,-30.02816850730252,4.35860514848828,-11.180688113363214
11,12,0.010999634586718994,6003.47452467,368.94899999999996,0.03605551275463989,5.93,20.927334670550216,-6.1325559534677385,-13.179565719870633,4.633678376516347,17.603284800810417,15.047187188157194,8.54826877854964,-18.479604030776922,12.964828138271093,-15.66684925903541,-22.008828911289218,2.0203888668255536,-10.533297006142355
12,13,0.011999601367329811,6111.81236461,368.418,0.05,5.93,23.641780111746655,-7.336213558249462,-12.122198430904579,5.643251037968623,12.74558920716949,13.888534670192335,9.016781762738741,-15.455056696019055,11.10845460146692,-15.930646142891064,-19.8082070794236,-0.3299748363083165,-12.40267211105228
13,14,0.01299956814794063,6308.33368165,366.567,0.03741657386773942,5.98,23.546618571274944,-7.224166642286308,-15.293383588739044,5.785874317109885,15.661970761469437,10.003453182087076,12.610805589587095,-11.533627608505064,7.055384787120015,-15.018786644568724,-14.89762244440441,-1.2102593483787687,-11.967313001916065
14,15,0.013999534928551447,5958.82667939,364.184,0.06403124237432849,5.93,26.654248649635846,-8.723420682006054,-13.50515350039284,5.82255388517482,11.312979225726679,10.12036212279286,12.365462916853414,-9.453736113308304,6.162717556655067,-15.590283974053687,-13.514269571088834,-2.3784363745660295,-13.807942384878244
15,16,0.014999501709162266,6143.53081713,365.85,0.0458257569495584,5.95,25.647242430088987,-8.38144999134044,-15.656635375645946,5.345018242123966,15.206377632229096,7.615958347246012,14.777153434250673,-6.6553261774089245,3.243028523029105,-13.683259396958245,-9.960950198029725,-2.130875563681995,-12.325006691379999
16,17,0.015999468489773083,6342.75926533,366.175,0.0565685424949238,5.94,25.881560158340776,-8.752269539354685,-15.523514253549106,4.690773662876788,15.420521821120563,6.715368047105009,15.426502981668804,-4.694918963162679,1.772001966263538,-12.459185725544646,-7.791000518966004,-2.065718564615235,-11.943989170975922
17,18,0.0169994352703839,6193.8306699,359.303,0.042426406871192854,5.96,25.07210540265646,-8.68563251397125,-15.70848893914968,4.103904018901901,16.918544583543575,5.934317616355399,15.994688324840363,-2.908200720658456,0.3059744598673052,-10.421102911825738,-5.782883048086231,-1.7991633901372144,-10.7433226477495
18,19,0.017999402050994717,6566.69139255,360.598,0.05,5.94,27.73262014445514,-10.283200197081715,-13.049872919380016,3.078410667890345,12.127548122303407,6.581874361856148,14.798693259343981,-1.593474986215821,0.026375030582143244,-11.05725576309447,-5.220428589752269,-2.26045942297372,-12.4773147482478
19,20,0.018999368831605537,6441.014941,358.982,0.042426406871192854,5.95,26.43208916292502,-10.191088156708483,-12.607446870898068,2.1884396413081135,12.590230704904636,6.204472813345139,14.82499036950888,-0.04521973090310267,-0.988414930784888,-9.13082376257457,-3.553981502805119,-2.0993075677547846,-11.392163092374942
20,21,0.019999335612216354,6530.37422994,357.538,0.04123105625617661,5.94,25.479437135271002,-10.247412046268558,-11.644413573978248,1.319328051337063,11.929832240130914,6.238695485621852,14.38020311343324,1.4485284806290113,-1.8025184498329831,-7.706459488233395,-2.436195444967623,-2.206363618948764,-10.780005820654956
21,22,0.02099930239282717,6327.14747139,354.632,0.044721359549995794,5.94,21.44931657722089,-8.657720241193495,-12.536453274432747,1.2418526003662713,15.165354745803217,5.415223580182406,14.567168317455593,2.31728382648669,-2.560437388935443,-4.2575558899946335,-0.9843681559733057,-2.2083664268594867,-8.00043707640529
22,23,0.021999269173437988,6261.01375527,354.12199999999996,0.03162277660168379,5.93,22.95070221016561,-10.114747137626223,-9.826227185696737,-0.22898066022164731,10.376560691192696,6.615267405267415,13.464868408090853,4.22619821101665,-3.1061222399959014,-5.034458018717635,-0.6529160942733867,-2.7268128897681176,-9.685690871033547
23,24,0.022999235954048805,6614.81353823,351.992,0.0458257569495584,5.93,19.33773757256087,-7.908781013908188,-11.477077537212336,0.558433874295469,13.529551946545592,3.855734856496644,13.814296219016473,3.327008183850823,-3.3538998240922067,-2.6016263342655,0.30629377176446937,-2.9401928330727416,-7.342780471487498
24,25,0.023999202734659622,6172.70486293,352.025,0.03741657386773942,5.93,19.354170287107856,-7.597101891255633,-11.056806470026986,0.5037252018312178,11.70751337224418,1.6725400626099667,13.78768231637737,2.9310261222580136,-3.5740067718360975,-3.015590378485711,0.6617143690743957,-3.2844982104912903,-7.974996731514084
25,26,0.024999169515270443,6419.68518408,350.477,0.0469041575982343,5.94,19.925854813774414,-8.457599970771486,-8.994780970604072,-0.7772820591728541,8.127316974203916,3.085344439573065,12.956197874500758,5.115854001469635,-4.3574507080558655,-3.66192282223975,0.8325472744946293,-3.8794356199535955,-9.227509305965262
